to adabdon to	từ bỏ;bỏ;ruồng bỏ;bỏ lại
again and again	liên tiếp;lặp đi lặp lại 
oneself again	phục hồi;bình phục;khỏe khoắn
as against	tương phản;trái ngược;đối nghịc 
be against	chống lại;phản đối;không tán thành 
against nature	phi thường;siêu phàm;kỳ diệu;vĩ diệu 
ever and again	thi thoảng;đôi khi 
half as much again	gấp rưỡi;gấp đôi
half as many again	gấp rưỡi;gấp đôi
against the grain	gây khó chịu;gây bực mình;trái ý 
against the hair	ngược lông;trái ý 
against time	hối hả;khẩn trương;tranh thủ thời gian 
now and again	một lần nữa 
age of consent	tuổi cập kê;tuổi kết hôn 
age of discretion	tuổi khôn lớn;tuổi biết suy nghĩ
age of puberty	tuổi dậy thì
awkward age	tuổi mới lớn 
tender age	tuổi non nớt;tuổi chưa chín chắn 
act one's age	xử sự đúng với tuổi 
be one's age	xử sự đúng với tuổi 
come of age	đến tuổi trưởng thành 
be of age	đến tuổi trưởng thành 
be aged	có tuổi
be one's age	ở vào độ tuổi 
be your age!	hãy cư xử đúng tuổi 
feel one's age	mặc cảm về tuổi tác;thấy mình già đi;thấy già nua 
for ages	đã lâu lắm 
in this day and age	ngày nay;thời buổi này 
a green old age	tuổi già sung sướng;sướng về già
live to a great age	sống thọ
look one's age	trông đúng tuổi 
be of an age	đến tuổi phải
of an age with	cùng tuổi với 
over age	hơn tuổi;quá tuổi
under age	dưới tuổi trưởng thành 
agitate against	vận động chống lại;kích động chống lại;xúi giục chống lại
agitate for	vận động;xúi giục;kích động 
agree kike dogs and cats	như chó với mèo 
agree on	đồng tình;đồng thuận 
agree to	tán thành;đồng ý 
agree to differ	chấp nhận ý kiến bất đồng;chấp nhận để khỏi tranh cãi
agree with	hợp;thích hợp;đồng tình với
agreeable to	vui lòng;tán thành;hợp với;thích hợp;làm vui lòng 
ahead of	trước;về phía trước;chạy trước;chạy nhanh 
ahead of time	trước thời hạn;trước hạn định;trước thời đại 
ahead of	hơn ai;vượt ai;trội hơn;giỏi hơn;tài hơn 
be ahead	ở lợi thế;có ưu thế;ở vị trí thuận lợi 
aim at	nhằm vào;giáng;nện;ném;nhằm;có ý định;có mục đích
air one's feeling	thổ lộ tình cảm;bày tỏ tình cảm 
air one's knowledge	tỏ ra thông thái;tỏ ra khôn hơn
air oneself	hóng gió;dạo mát 
beat the air	uổng công vô ích;tốn công tốn sức
a breath of fresh air	được hít thở không khí trong lành;một luồng gió mới  
castle in the air	lâu đài cát;những hy vọng không bao giờ thành hiện thực;mọi thứ sẽ chẳng đi đến đâu;sẽ không có kết cục tốt đẹp gì 
change of air	thay đổi không khí;thay đổi môi trường 
change of climate	thay đổi không khí;thay đổi môi trường 
clear the air	làm sạch không khí;xua tan u buồn;xóa tan không khí nặng nề;xóa tan lo âu
fish in plough	uổng công vô ích 
fish in the air	uổng công vô ích;tốn công tốn sức 
give the air	xa thải;đổi việc;cho thôi việc;cho nghỉ việc 
go up in the air	mất tự chủ;mất bình tĩnh
in the air	hão huyền;viển vong;lan đi;lan khắp;lan truyền 
keep in the air	để phải chờ đợi
as light as air	tựa gió;nhẹ nhàng 
in the open air	ở ngoài trời 
on the air	không dây
take air	lan truyền đi;dồn đi 
take the air	dạo mát;hóng gió;cất cánh;bay lên;chuồn;trốn;bỏ trốn
treat on air	cảm thấy sung sướng;mừng rơn 
akin to	hơi giống nhau;gần như;na ná như 
alarmed at	được cảnh bảo;được thông báo;lo sợ;hoảng hốt
alarmed by	được cảnh bảo;được thông báo;lo sợ;hoảng hốt
alarmed for	được cảnh bảo;được thông báo;lo sợ;hoảng hốt
an false alarm	báo động giả 
give the alarm	báo động
raise the alarm	báo động 
sound the alarm	bấm còi 
take the alarm	được cảnh báo;lo âu;sợ hãi 
alert to	giải thích rõ
on the alert agaist	cảnh giác;đề phòng
on the alert for	cảnh giác;đề phòng
alert to	tỉnh táo;cảnh giác;lanh lợi 
alien from	làm xa lánh
alien to	xa lạ;khác biệt;lạ lẫm;không có quan hệ gì với
alien from	xa lạ;khác biệt;lạ lẫm;không có quan hệ gì với
alienate from	làm ruồng bỏ;làm xa lánh
alight from	xuống;bước xuống;tránh được tổn thất;tránh được tai họa 
align with	sắp hàng;sắp thẳng hàng;xếp thẳng hàng 
alive and kicking	còn sống;khỏe mạnh;chưa chết 
alive to	hiểu rõ;nhận thức được;giác ngộ
befalling	ấp tới;xảy tới 
alive with	nhan nhản;lúc nhúc;nhung nhúc;đầy rẫy
alive	còn sống;còn tồn tại;còn hiệu lực;còn giá trí 
all about	một mình;đơn độc;suốt;suốt từ đầu đến cuối;dọc theo;lúc nào cũng;luôn luôn 
all along of	vì;do bởi;tại vì
all around	xung quanh;mọi mặt;toàn diện;tài giỏi;biết nhiều thứ
all at once	bất thình lình;đột nhiên;cùng một lúc
all at sea	bối rối;lúng túng 
all but	gần như;hầu như;suýt nữa
all cát are grey in the dark	tắt đèn nhà ngói như nhà tranh
all day along	suốt ngày;cả ngày 
all ears	chú ý;vảnh tay nghe;lắng nghe 
all eyes	nhìn chằm chằm 
all's fish that comes to his met	lớn bé to nhỏ hắn đều vơ tất	không chừa tý nào
all for the best	cuối cùng cũng có kết quả tốt đẹp 
all his geese are swans	nó cho cái gì của nó cũng là vàng cả
all in	mệt ra rời;kiệt sức
all in all	nói chung;nhìn chung;xét chung;tổng thể mà nói;tổng cộng 
all in one	tóm lại;ruốt cuộc;tổng thể;tổng cộng 
all legs	cao lêu nghêu;chỉ thấy chân với cẳng
all of	tất cả;toàn bộ;hơn;trên;độ khoảng;khoảng độ;khoảng chừng
all of a piece	cùng một giuộc;cùng một loại;phù hợp với;đúng với;nhất quán với;có liên quan tới 
all of a sudden	bỗng nhiên;bất thình lình;đột nhiên;bất chợt 
all of	độ khoảng;khoảng độ;khoảng chừng
all one	cũng vậy thôi;là một khối;là một đơn vị;dùng chung;chung nhau
all one knows	hết sức mình;với tất cả khả năng;với sự hiểu biết
all one to	vấn đề bình thường;thường thôi;không quan trọng
all one's life	cả đời
all-out	toàn lực
all-out effort	dốc toàn lực 
all over	chấm dứt;kết thúc;khắp nơi;mọi nơi;nơi nơi;hoàn toàn;đúng là;y hệt;phải lòng;say mê;mê mẩn 
all over with	xong với;hết với
all up with	xong với;hết với
all over but the shouting	mọi việc đã xong xuôi chỉ còn ăn mừng nữa
all right	được rồi;tốt;ổn rồi;vui lòng
all round	xung quanh;toàn diện;mọi khía canh;tiến bộ 
all set	sẵn sàng;xong xuôi
all tongue	chỉ có nói thôi;nói liên hiều;luôn miệng 
all that glitters is not gold	tốt mã dẻ cùi
all the answers	nhanh nhẹn;linh hoạt;dẻo mồm
all the better	càng tốt 
all the even better	càng tốt
all the good	càng hay;càng lời;càng tốt 
all the harder	càng vất vả hơn
all the more	càng;càng hơn
all the range	đang thịnh hành;đang phổ biến;đang được ưa chuộng
all the same	cũng thế thôi;không khác gì;chẳng khác gì
all there	trong sáng;lành mạnh;có lý trí
all the world to	là tất cả;là trên hết
all the worse	càng xấu hơn;càng tồi tệ hơn 
all through	toàn bộ;đến cùng 
all told	tổng cộng;tính chung;tất cả là;tóm lại;nói chung 
all up with	hết cách đối với 
all washed up	không còn giá trị nữa;hết hiệu lực;không có tác dụng;hết tác dụng
all work and no play makes Jack a dull boy	làm việc phải biết nghỉ ngơi 
all year	quan năm 
allegiance to	trung thành đối với;một lòng một dạ đối với 
allot to	chia cho
allow for	kể đến;chú ý đến;tính đến;chiếu cố đến;lưu tâm đến 
allow in	cho phép vào
allow out	cho phép ra
allow up	cho phép lên 
allow of	chop phép;chịu được;chấp nhận 
allow oneself	tự cho phép mình 
allude to	nói ám chỉ;ám chỉ;nói bóng nói gió
ally oneself with	liên kết;liên minh
ally oneself to	liên kết;liên minh
alone in	một mình làm
leave alone	mặc kệ;không để tâm;không quan tâm;không đếm xỉa
let alone	mặc kệ;không để tâm;không quan tâm;không đếm xỉa
let alone	không nói đến;không nhắc đến;bỏ mặc
all along	suốt;ngay từ đầu;suốt từ đầu 
all along of	vì;vì là;do bởi 
right along	luôn luôn;bao giờ cũng
along with	với;cùng với
alongside of	gần;kề bên;sát cạnh;dọc theo
alongside with	đồng thời với;cùng với 
alternate with	xen lẫn;xen kẽ;đan xen
alternate between	xen kẽ;luôn phiên;thay nhau 
amazed at	kinh ngạc;sửng sốt
amazed by	kinh ngạc;sửng sốt
amazed with	kinh ngạc;sửng sốt
ambitious for	có nhiều hoài bão;tham vọng 
amenable to	tuân theo;vâng theo;biết nghe theo;chịu trách nhiệm;phải chịu;đáng chịu 
make amends to for	đền bù;bồi thường 
come amiss	đến không đúng lúc;không thích hợp 
go amiss	đến không đúng lúc;không thích hợp 
take amiss	bực mình;phật ý;nổi đóa
amorous of	đa tình;say mê
amount to	lên đến;lên tới;chung quy là;rốt cuộc là
amuse oneself by	tự giải trí;tiêu khiển bằng 
amuse oneself with	tự giải trí;tiêu khiển bằng 
amused with	thích thú với
amused at	thích thú với
amused by	thích thú với
analogy to	sự tương tự;sự giống nhau
analogy with	sự tương tự;sự giống nhau
anchor off the shore	neo tàu xa bờ 
anchor one's hope in	đặt hy vọng;kỳ vọng vào
anchor one's hope on	đặt hy vọng;kỳ vọng vào
anchor a tent to the ground	néo chặt cái lều xuống đất bằng neo sắt 
anchor the land	giữ đất
anchor	thả neo đậu 
bring a ship to anchor	dừng tàu lại và thả neo 
swellow the anchor	từ bỏ cuộc đời sông nước 
and how	tất nhiên thế;còn hơn thế nữa
and so on	vân vân 
and so forth	vân vân 
and then	còn sau đó 
and then some	và còn nhiều hơn thế nữa 
and what not	cái gì nữa;vân vân 
angry at	tức giận;cáu kỉnh
angry about	tức giận;cáu kỉnh
angry with	tức giận;cáu kỉnh với;bực tức với 
animal desires	ham muốn tình dục 
animal deeds	thức an và đồ uống  
animal spirits	tính sôi nổi;tính yêu đời 
animate to	động viên;kích thích;cổ vũ
animate with	động viên;kích thích;cổ vũ
animated by	được cổ vũ bởi;được thúc đẩy bởi;phấn khởi vì 
animated cartoon	phim hoạt hình;phim thiếu nhi 
animosity towards	sự thù oán với
animosity against	sự thù oán với 
annex to	phụ vào;thêm vào 
announce to the public	báo tin;loan tin;thông báo 
annoyed at	bị bực mình;khó chịu
annoyed about	bị bực mình;khó chịu
annoyed with for	bực mình về cái gì 
be angry at	giận;tức giận;bực bội 
get angry at	giận;tức giận;bực bội 
be angry about	giận;tức giận;bực bội 
get angry about	giận;tức giận;bực bội 
answer back	bào chữa;phản kháng
answer for	trả lời;trả lời thay;chịu trách nhiệm về;đảm bảo;bảo lãnh 
answer the purpose to	thay thế được;được dùng làm 
answer to	trả lời;chịu trách nhiệm với;đúng với;đáp ứng được 
answer to the description	phù hợp mô tả;khớp với mô tả;đúng với mô tả
answer to the name of	trả lời;thưa khi gọi đến tên 
a dusty answer	câu trả lời cộc lốc;câu trả lời cụt ngủn
know all the answers	đối đáp nhanh;nhanh mồm nhanh miệng 
have all the answers	đối đáp nhanh;nhanh mồm nhanh miệng 
in answer to	để trả lời;để đáp ứng 
ante up	buộc phải trả tiền;phải thanh toán
antecedent to	trước;ở trước;có trước
antidote against to	chất giải độc cho;sự làm dịu bớt căng thẳng
antidote against for	chất giải độc cho;sự làm dịu bớt căng thẳng
anxious about	lo âu về;lo lắng về;boăn khăn về
anxious for	lo âu về;lo lắng về;boăn khăn về
isn't having any	không quan tâm;không đồng ý 
any more	không còn nữa 
any port in a storm	trong trường hợp cần thiết 
any time	bất cứ lúc nào 
anybody's guess	sự việc biết lơ mơ;không ai biết chắc được 
isn't anybody	chẳng là ai cả;chẳng có gì quan trọng cả 
all anyhow	lộn xộn;đại khái;qua loa
feel anyhow	cảm thấy mệt mỏi;cảm thấy ốm yếu;cảm thấy xa xút
anything but	là bất cứ cái gì chỉ trừ;không chút nào 
if anything	có thể;có lẽ 
like anything	hết sức;vô cùng;cực kỳ;rất mau lẹ 
anything like	không giống chút nào
apart from	về một bên;qua một bên;riêng ra;tách ra;ngoài ra;bên cạnh đó 
joking apart	nói thật;không đùa đâu;nói một cách nghiêm túc 
jesting apart	nói thật;không đùa đâu;nói một cách nghiêm túc 
poles apart	cách xa vạn dặm 
miles apart	cách xa vạn dặm
put apart	làm cho nổi bật;làm cho độc đáo 
set apart	làm cho nổi bật;làm cho độc đáo 
take apart	lấy rời ra từng phần;tháo rời ra từng phần 
take apart	phê bình nghiêm túc;phê bình nghiêm khắc 
apologize to for	xin lỗi;tạ lỗi
apologize for	xin lỗi;tạ lỗi
make an apology to for	xin lỗi
offer an apology to for	xin lỗi 
apparent to	thấy rõ;hiểu rõ;rõ ràng 
appeal against	phản kháng;chống lại
appeal to for	kêu gọi ai;yêu cầu
have a good appetite	ăn ngon miệng 
appetite for	thèm muốn;khao khát 
sexual appetite	tình dục 
apple of discord	mối bất hòa 
apple of Sodom	thành tích bên ngoài;thành thích giả tạo 
apple of the eye	con ngươi;người quý báu;vật quý báu 
apple-pie order	hết sức gọn gàng;ngăn nắp;có trật tự 
apple-polisher	kẻ nịnh bợ;kẻ bỡ đợ;kẻ xua nịnh 
apple-sace	vớ vẩn;vô lý;tào lao;sự nịnh nọt;sự nịnh hót 
applicable to	có thể áp dụng được;có thể ứng dụng được ;thích hợp với 
apply for	van xin;thỉnh cầu;hỏi về 
apply oneself to	hỏi;yêu cầu;phết;trát
apply oneself at	hỏi;yêu cầu;phết;trát
appoint a date for	ấn định ngày 
appoint to	cử;cắt cử;bổ nhiệm
apprehensive of	lo sợ;e ngại
apprehensive for	lo sợ;e ngại
apprehensive about	lo sợ;e ngại
approach about	thăm dò ý kiến;tiếp xúc
approach on	thăm dò ý kiến;tiếp xúc
approach to	gần như 
easy of approach	dễ tới;dễ gần
difficult of approach	khó tới;khó gần 
approach to	gần giống
appropriate for	dành cho;giành riêng 
appropriate to oneself	chiếm đoạt làm của riêng;chiếm làm của riêng 
appropriate to one's own use	chiếm làm của riêng;chiếm làm của tư 
appropriate to	giành riêng;thích hợp;thích đáng
appropriate for	giành riêng;thích hợp;thích đáng
approve of	tán thành;đồng ý
approve oneself	chứng tỏ;chứng minh;tỏ ra 
give approval to	tán thành 
on approval	nếu ưng ý thì mua 
a seal of approval	sự phê chuẩn;sự công nhận 
approximate to	gần với;gần đúng với;xấp xỉ
apt at	có năng khiếu;có năng lực;có tài năng;có khả năng 
apt to promise apt to forget	dễ hứa thì lại dễ quên
aptitude for	có năng khiếu;có khả năng 
arbitrate between	phân xử giữa
argue about	tranh luận;tranh cãi
argue against	lấy lý lẽ để chống lại;dùng lý lẽ để chống lại 
argue for	dùng lý để biện hộ
argue from	phán đoán dựa vào
argue in a circle	rơi vào vòng luẩn quẩn;luẩn quẩn
argue in favour of	lý luận ủng hộ;nghiêng về;ủng hộ
argue into	thuyết phục làm 
argue out of	thuyết phục từ bỏ;căn ngăn
argue away	lấy lý lẽ để bác bỏ 
argue with about	tranh luận;bàn cãi;cãi vã
argue with over	tranh luận;bàn cãi;cãi vã
arise from	xuất hiện;xảy ra;phát sinh từ
arise out of	xuất hiện;xảy ra;phát sinh từ
arm oneself with	vũ trang;trang bị;tạo cho mình
armed at all points	được chuẩn bị vũ trang;được trang bị vũ trang
armed to the teeth	vũ trang đến tận răng 
at arm's length	cách một sải tay
bear arms	mang vũ khí;phục vụ trong quân đội
take up arms against	cầm vũ khí chiến đấu chống lại
up in arms about	phản đối dữ dội về;phản đối kích liệt;lên án kịch liệt
up in arms over	phản đối dữ dội về;phản đối kích liệt;lên án kịch liệt
be around as	nổi tiếng;xuất chúng;kiệt xuất;hiểu biết nhiều;có kinh nghiệm;am hiểu tình dục;từng trải
arouse from	làm cho thức tỉnh;làm cho năng động 
arouse out of	làm cho thức tỉnh;làm cho năng động 
arraign on	buộc tội
arraign for	buộc tội 
under arrest	bị bắt;bị tóm 
arrive at	đạt tới;đi tới;lâm vào;đi tới
one's fingerends	bước đường cùng;cảnh túng quẫn;cảnh khốn khó;cuộc sống nghèo khổ 
arrive in	đến;tới nơi trong
finally arrive	được sinh ra 
as a favour	không mất tiền 
as against	trái ngược;ngang trái 
as a last resort	như là cách cuối cùng;là phương sách cuối cùng 
as a man makes his hed so must he lie	mình làm mình chịu 
as a matter of fact	thực tế là;nói thực ra là;thực chất là 
as a rule	nói chung;theo thường lệ
